pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_met,pl_eqt,origin
Kepler-1987 e,8.74294266,,,,,4711.0,0.738369,0.75,,,Exoplanet
Kepler-1987 e,8.74292005,,,,,4711.0,0.738369,0.75,,,Exoplanet
Kepler-1987 e,8.74306,0.075,0.0,1.58,,4601.0,0.67,0.74,,608.0,Exoplanet
Kepler-1988 b,11.49499722,0.1142,0.0,2.59,,6036.0,3.132,1.502,-0.1,1394.0,Exoplanet
Kepler-1988 b,11.49499989,,,1.54999995,,6033.0,1.788,1.127,-0.1,,Exoplanet
Kepler-1988 b,11.49499722,0.1142,0.0,2.59,,6036.0,3.132,1.502,-0.1,1394.0,Exoplanet
Kepler-1988 b,11.49499722,0.1142,0.0,2.59,,6036.0,3.132,1.502,-0.1,1394.0,Exoplanet
Kepler-1988 b,11.49500229,0.1038,0.0,1.53,,6033.0,1.788,1.127,-0.1,1105.0,Exoplanet
Kepler-1988 b,11.49500229,,,,,5801.01,,,-0.1821,,Exoplanet
Kepler-1988 b,11.49440414,,,,,5801.01,,,-0.1821,,Exoplanet
Kepler-1989 b,10.16100025,,,4.76100016,,6032.0,1.06,0.999,-0.14,,Exoplanet
Kepler-1989 b,10.16102981,,,,,5953.0,1.29675,1.09,,,Exoplanet
Kepler-1989 b,10.161032261,0.0918,0.0,4.42,,6032.0,1.06,0.999,-0.14,904.0,Exoplanet
Kepler-1989 b,10.161032261,0.0918,0.0,4.42,,6032.0,1.06,0.999,-0.14,904.0,Exoplanet
Kepler-1989 b,10.160956,0.094,0.0,3.7,,5767.0,1.09,1.08,,868.0,Exoplanet
Kepler-1989 b,10.161032261,0.0918,0.0,4.42,,6032.0,1.06,0.999,-0.14,904.0,Exoplanet
Kepler-1989 b,10.161023528,0.0918,0.0,4.62,,6032.0,1.06,0.999,-0.14,904.0,Exoplanet
Kepler-1989 b,10.161023528,,,,,5953.0,1.29675,1.09,,,Exoplanet
Kepler-199 b,23.64219092,,,2.96,,5709.0,0.88,0.96,-0.12,,Exoplanet
Kepler-199 b,23.64219092,0.15976,,3.109,,5721.0,0.908,0.972,0.0,,Exoplanet
Kepler-199 b,,,,3.027,,5721.0,0.919,,,,Exoplanet
Kepler-199 b,23.6421965,,,,,5698.3,0.917774,1.01,-0.048,,Exoplanet
Kepler-199 b,23.636883,0.161,0.0,3.8,,5980.0,1.16,1.003,,709.0,Exoplanet
Kepler-199 b,23.64210501,,,,,5698.3,0.917774,1.01,-0.048,,Exoplanet
Kepler-199 b,23.64219092,0.1602,0.0,3.87,,5989.0,1.131,0.979,-0.16,702.0,Exoplanet
Kepler-199 b,23.64219092,0.1602,0.0,3.87,,5989.0,1.131,0.979,-0.16,702.0,Exoplanet
Kepler-199 b,23.637604,0.158,,3.11,,5644.0,0.967,,,,Exoplanet
Kepler-199 b,23.64219092,0.1602,0.0,3.87,,5989.0,1.131,0.979,-0.16,702.0,Exoplanet
Kepler-199 b,23.6421965,0.1602,0.0,2.9,,5750.0,0.882,0.98,-0.04,595.0,Exoplanet
Kepler-199 c,67.093408,0.316,,3.25,,5644.0,0.967,,,,Exoplanet
Kepler-199 c,67.0932997,,,3.15,,5709.0,0.88,0.96,-0.12,,Exoplanet
Kepler-199 c,67.0932997,0.3211,0.0,4.06,,5989.0,1.131,0.979,-0.16,496.0,Exoplanet
Kepler-199 c,67.0932997,0.3211,0.0,4.06,,5989.0,1.131,0.979,-0.16,496.0,Exoplanet
Kepler-199 c,67.0930642,,,,,5698.3,0.917774,1.01,-0.048,,Exoplanet
Kepler-199 c,67.09342695,,,,,5698.3,0.917774,1.01,-0.048,,Exoplanet
Kepler-199 c,67.0930642,0.3211,0.0,3.51,,5750.0,0.882,0.98,-0.04,420.0,Exoplanet
Kepler-199 c,67.0933109601,,,,,5698.3,0.917774,1.01,-0.048,,Exoplanet
Kepler-199 c,67.0935,0.324,0.0,3.9,,5980.0,1.16,1.003,,500.0,Exoplanet
Kepler-199 c,67.0932997,0.32021,,3.264,,5721.0,0.908,0.972,0.0,,Exoplanet
Kepler-199 c,,,,3.655,,5721.0,0.919,,,,Exoplanet
Kepler-199 c,67.0932997,0.3211,0.0,4.06,,5989.0,1.131,0.979,-0.16,496.0,Exoplanet
Kepler-1990 b,1.7351365,0.029,0.0,3.69,,5838.0,1.079,1.112,,1571.0,Exoplanet
Kepler-1990 b,1.735136026,0.0284,0.0,3.76,,5731.0,1.231,1.016,0.16,1664.0,Exoplanet
Kepler-1990 b,1.735136026,0.0284,0.0,3.76,,5731.0,1.231,1.016,0.16,1664.0,Exoplanet
Kepler-1990 b,1.73513619,0.0286,0.0,3.27,,5751.0,1.071,1.028,0.21,1554.0,Exoplanet
Kepler-1990 b,1.73513611,,,,,5940.0,1.08041,1.08,,,Exoplanet
Kepler-1990 b,1.735136026,0.02904,,3.372,,5759.0,1.105,1.084,0.24,,Exoplanet
Kepler-1990 b,1.735129952,,,3.91400003,,5751.0,1.071,1.028,0.21,,Exoplanet
Kepler-1990 b,1.735136026,0.0284,0.0,3.76,,5731.0,1.231,1.016,0.16,1664.0,Exoplanet
Kepler-1990 b,1.73513619,,,,,5940.0,1.08041,1.08,,,Exoplanet
Kepler-1990 c,4.06844201,0.0502,0.0,1.1,,5731.0,1.231,1.016,0.16,1252.0,Exoplanet
Kepler-1990 c,4.06844957,,,,,5940.0,1.08041,1.08,,,Exoplanet
Kepler-1990 c,4.068545,0.052,0.0,1.09,,5838.0,1.079,1.112,,1173.0,Exoplanet
Kepler-1990 c,4.06844201,0.0502,0.0,1.1,,5731.0,1.231,1.016,0.16,1252.0,Exoplanet
Kepler-1990 c,4.06844201,0.0502,0.0,1.1,,5731.0,1.231,1.016,0.16,1252.0,Exoplanet
Kepler-1990 c,4.06844201,0.05126,,0.986,,5759.0,1.105,1.084,0.24,,Exoplanet
Kepler-1990 c,4.06844957,0.0504,0.0,0.98,,5751.0,1.071,1.028,0.21,1170.0,Exoplanet
Kepler-1990 c,4.068429947,,,1.18700004,,5751.0,1.071,1.028,0.21,,Exoplanet
Kepler-1991 b,13.26084292,0.108,0.0,1.26,,5632.0,0.857,0.953,-0.02,700.0,Exoplanet
Kepler-1991 b,13.26084292,0.108,0.0,1.26,,5632.0,0.857,0.953,-0.02,700.0,Exoplanet
Kepler-1991 b,13.26080036,,,1.84599996,,5478.0,1.053,0.914,0.16,,Exoplanet
Kepler-1991 b,13.26107,0.107,0.0,1.23,,5603.0,0.82,0.923,,683.0,Exoplanet
Kepler-1991 b,13.26084292,0.108,0.0,1.26,,5632.0,0.857,0.953,-0.02,700.0,Exoplanet
Kepler-1991 b,13.26079792,,,,,5477.0,0.980207,0.96,,,Exoplanet
Kepler-1991 b,13.26079792,0.1065,0.0,1.47,,5478.0,1.053,0.914,0.16,760.0,Exoplanet
Kepler-1991 b,13.26084292,0.10748,,1.409,,5486.0,0.961,0.941,0.14,,Exoplanet
Kepler-1991 c,22.79021423,0.1549,0.0,2.18,,5632.0,0.857,0.953,-0.02,584.0,Exoplanet
Kepler-1991 c,22.78983,0.153,0.0,2.02,,5603.0,0.82,0.923,,571.0,Exoplanet
Kepler-1991 c,22.79021423,0.15424,,2.446,,5486.0,0.961,0.941,0.14,,Exoplanet
Kepler-1991 c,22.79021423,0.1549,0.0,2.18,,5632.0,0.857,0.953,-0.02,584.0,Exoplanet
Kepler-1991 c,22.79020351,,,,,5477.0,0.980207,0.96,,,Exoplanet
Kepler-1991 c,22.79009217,,,,,5477.0,0.980207,0.96,,,Exoplanet
Kepler-1991 c,22.79020351,0.1528,0.0,2.57,,5478.0,1.053,0.914,0.16,634.0,Exoplanet
Kepler-1991 c,22.79021423,0.1549,0.0,2.18,,5632.0,0.857,0.953,-0.02,584.0,Exoplanet
Kepler-1991 c,22.79019928,,,2.90799999,,5478.0,1.053,0.914,0.16,,Exoplanet
Kepler-1992 b,15.6112238,,,,,5373.47,1.1425,0.93,-0.1236,,Exoplanet
Kepler-1992 b,15.611223,0.1146,0.0,0.91,,5466.0,0.946,0.821,-0.12,693.0,Exoplanet
Kepler-1992 b,15.6113,0.115,0.0,0.88,,5450.0,0.93,0.826,,683.0,Exoplanet
Kepler-1992 b,15.611223,0.1146,0.0,0.91,,5466.0,0.946,0.821,-0.12,693.0,Exoplanet
Kepler-1992 b,15.611223,0.11683,,1.081,,5371.0,1.122,0.872,-0.12,,Exoplanet
Kepler-1992 b,15.611223,0.1146,0.0,0.91,,5466.0,0.946,0.821,-0.12,693.0,Exoplanet
Kepler-1992 b,15.6112238,0.1169,0.0,0.91,,5383.0,0.842,0.874,0.0,637.0,Exoplanet
Kepler-1992 b,15.61120033,,,1.02699995,,5383.0,0.842,0.874,0.0,,Exoplanet
Kepler-1993 b,26.65671518,,,,,4939.47,3.14014,,0.0527,,Exoplanet
Kepler-1993 b,26.6565574,0.1943,0.0,4.05,,5159.0,3.062,1.373,-0.04,903.0,Exoplanet
Kepler-1993 b,26.6565737,,,,,4939.47,3.14014,,0.0527,,Exoplanet
Kepler-1993 b,26.6565737,0.1943,0.0,4.15,,5159.0,3.062,1.373,-0.04,903.0,Exoplanet
Kepler-1993 b,26.6565574,0.1943,0.0,4.05,,5159.0,3.062,1.373,-0.04,903.0,Exoplanet
Kepler-1993 b,26.6565574,0.18874,,3.993,,4966.0,3.015,1.262,0.07,,Exoplanet
Kepler-1993 b,26.65660095,,,4.42700005,,5159.0,3.062,1.373,-0.04,,Exoplanet
Kepler-1993 b,26.6565574,0.1943,0.0,4.05,,5159.0,3.062,1.373,-0.04,903.0,Exoplanet
Kepler-1994 b,4.61226344,0.0509,0.0,0.55,,5461.0,0.924,0.824,-0.12,1026.0,Exoplanet
Kepler-1994 b,4.612319946,,,0.6221,,5495.0,0.961,0.932,0.16,,Exoplanet
Kepler-1994 b,4.61226344,0.0509,0.0,0.55,,5461.0,0.924,0.824,-0.12,1026.0,Exoplanet
Kepler-1994 b,4.61225043,0.053,0.0,0.51,,5495.0,0.961,0.932,0.16,1032.0,Exoplanet
Kepler-1994 b,4.61226344,0.05466,,0.615,,5544.0,1.029,1.023,0.32,,Exoplanet
Kepler-1994 b,4.61225043,,,,,5337.39,1.11473,0.921,0.258,,Exoplanet
Kepler-1994 b,4.61226344,0.0509,0.0,0.55,,5461.0,0.924,0.824,-0.12,1026.0,Exoplanet
Kepler-1994 b,4.612264,0.051,0.0,0.51,,5450.0,0.92,0.829,,1018.0,Exoplanet
Kepler-1995 b,73.75779724,,,4.6170001,,5029.0,0.93,0.847,0.48,,Exoplanet
Kepler-1995 b,73.7571,0.338,0.0,5.4,,4836.0,1.14,0.95,,391.0,Exoplanet
Kepler-1995 b,73.7579317,0.3259,0.0,4.23,,5029.0,0.93,0.847,0.48,375.0,Exoplanet
Kepler-1995 b,73.7578875,,,,,4693.0,0.797914,0.75,,,Exoplanet
Kepler-1995 b,73.7579317,0.3259,0.0,4.23,,5029.0,0.93,0.847,0.48,375.0,Exoplanet
Kepler-1995 b,73.7579317,0.32233,,3.347,,4883.0,0.736,0.82,0.2,,Exoplanet
Kepler-1995 b,73.75794221,,,,,4693.0,0.797914,0.75,,,Exoplanet
Kepler-1995 b,73.7578875,0.3259,0.0,4.28,,5029.0,0.93,0.847,0.48,375.0,Exoplanet
Kepler-1995 b,73.7579317,0.3259,0.0,4.23,,5029.0,0.93,0.847,0.48,375.0,Exoplanet
Kepler-1996 b,32.37642916,,,,,4519.0,0.765529,0.71,,,Exoplanet
Kepler-1996 b,32.37609863,,,2.29399991,,4580.0,0.675,0.748,0.08,,Exoplanet
Kepler-1996 b,32.376183,0.1789,0.0,2.26,,4580.0,0.675,0.748,0.08,392.0,Exoplanet
Kepler-1996 b,32.3763405,0.18167,,1.91,,4628.0,0.707,0.762,0.18,,Exoplanet
Kepler-1996 b,32.3763405,0.1726,0.0,1.69,,4528.0,0.624,0.651,-0.3,380.0,Exoplanet
Kepler-1996 b,32.3767,0.172,0.0,1.82,,4572.0,0.616,0.644,,382.0,Exoplanet
Kepler-1996 b,32.3763405,0.1726,0.0,1.69,,4528.0,0.624,0.651,-0.3,380.0,Exoplanet
Kepler-1996 b,32.376183,,,,,4519.0,0.765529,0.71,,,Exoplanet
Kepler-1996 b,32.3763405,0.1726,0.0,1.69,,4528.0,0.624,0.651,-0.3,380.0,Exoplanet
Kepler-1996 c,92.7296775,0.3482,0.0,2.15,,4528.0,0.624,0.651,-0.3,267.0,Exoplanet
Kepler-1996 c,92.725,0.346,0.0,2.21,,4572.0,0.616,0.644,,269.0,Exoplanet
Kepler-1996 c,92.7296775,0.3664,,2.432,,4628.0,0.707,0.762,0.18,,Exoplanet
Kepler-1996 c,92.7296775,0.3482,0.0,2.15,,4528.0,0.624,0.651,-0.3,267.0,Exoplanet
Kepler-1996 c,92.73002412,,,,,4519.0,0.765529,0.71,,,Exoplanet
Kepler-1996 c,92.7297248,,,,,4519.0,0.765529,0.71,,,Exoplanet
Kepler-1996 c,92.7296775,0.3482,0.0,2.15,,4528.0,0.624,0.651,-0.3,267.0,Exoplanet
Kepler-1996 c,92.72949982,,,2.81299996,,4580.0,0.675,0.748,0.08,,Exoplanet
Kepler-1996 c,92.7297248,0.3608,0.0,2.81,,4580.0,0.675,0.748,0.08,276.0,Exoplanet
Kepler-1997 b,26.75902695,,,,,6031.0,1.06582,1.12,,,Exoplanet
Kepler-1997 b,26.7575866,,,,,6031.0,1.06582,1.12,,,Exoplanet
Kepler-1997 b,26.7575859,0.1808,0.0,2.51,,6197.0,1.035,1.096,-0.08,654.0,Exoplanet
Kepler-1997 b,26.7575866,0.1815,0.0,2.28,,6215.0,1.052,1.111,-0.06,660.0,Exoplanet
Kepler-1997 b,26.75749969,,,2.44300008,,6215.0,1.052,1.111,-0.06,,Exoplanet
Kepler-1997 b,26.7575859,0.1808,0.0,2.51,,6197.0,1.035,1.096,-0.08,654.0,Exoplanet
Kepler-1997 b,26.7575859,0.1808,0.0,2.51,,6197.0,1.035,1.096,-0.08,654.0,Exoplanet
Kepler-1998 b,3.03267135,,,,,5581.44,0.991425,0.985,0.096,,Exoplanet
Kepler-1998 b,3.032802,0.04,0.0,0.75,,5740.0,0.91,0.933,,1209.0,Exoplanet
Kepler-1998 b,3.03266154,0.0392,0.0,0.61,,5725.0,0.881,0.874,-0.26,1197.0,Exoplanet
Kepler-1998 b,3.03266154,0.0392,0.0,0.61,,5725.0,0.881,0.874,-0.26,1197.0,Exoplanet
Kepler-1998 b,3.03263998,,,0.69419998,,5640.0,0.921,0.962,0.06,,Exoplanet
Kepler-1998 b,3.03267135,0.0405,0.0,0.6,,5640.0,0.921,0.962,0.06,1187.0,Exoplanet
Kepler-1998 b,3.03266154,0.04066,,0.66,,5606.0,0.96,0.975,0.11,,Exoplanet
Kepler-1998 b,3.03266154,0.0392,0.0,0.61,,5725.0,0.881,0.874,-0.26,1197.0,Exoplanet
Kepler-1999 b,8.7396758,,,,,4376.0,0.714303,0.68,,,Exoplanet
Kepler-1999 b,8.7396758,0.0713,0.0,3.29,,4406.0,0.628,0.632,-0.24,577.0,Exoplanet
Kepler-1999 b,8.7393272,0.0712,0.0,4282.98,,4403.0,0.627,0.632,-0.24,576.0,Exoplanet
Kepler-1999 b,8.739450455,,,3.55299997,,4406.0,0.628,0.632,-0.24,,Exoplanet
Kepler-20 b,3.6961219,0.04537,0.32,1.91,8.7,5455.0,0.944,0.912,0.01,1014.0,Exoplanet
Kepler-20 b,3.69611525,0.0463,0.03,1.868,9.7,5495.0,0.9639,0.948,0.07,1105.0,Exoplanet
Kepler-20 b,3.696121272,0.0448,0.0,1.78,,5465.0,0.925,0.876,0.02,1095.0,Exoplanet
Kepler-20 b,,,,1.708,,5508.0,0.887,,,,Exoplanet
Kepler-20 b,3.696119675,0.0448,0.0,2.11,,5465.0,0.925,0.876,0.02,1095.0,Exoplanet
Kepler-20 b,3.6961048684,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 b,3.696121272,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 b,3.696119675,0.0448,0.0,2.11,,5465.0,0.925,0.876,0.02,1095.0,Exoplanet
Kepler-20 b,3.696119675,0.04588,,2.007,,5508.0,0.88,0.942,0.11,,Exoplanet
Kepler-20 b,3.6961049,0.04565,0.083,1.773,9.7,5495.0,0.9164,0.929,0.07,1187.0,Exoplanet
Kepler-20 b,3.69611757,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 b,3.6961159,0.045,0.0,1.97,,5443.0,0.939,0.901,,1097.0,Exoplanet
Kepler-20 b,3.696119675,0.0458621244,0.0,2.007,9.51297537,,,0.942,,,Exoplanet
Kepler-20 b,3.696119675,,,2.13,,5569.0,0.93,0.95,0.04,,Exoplanet
Kepler-20 b,3.696119675,0.0448,0.0,2.11,,5465.0,0.925,0.876,0.02,1095.0,Exoplanet
Kepler-20 c,10.85409089,0.0949,0.16,3.047,12.75,5495.0,0.9639,0.948,0.07,772.0,Exoplanet
Kepler-20 c,10.8541002,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 c,10.854097835,,,3.04,,5569.0,0.93,0.95,0.04,,Exoplanet
Kepler-20 c,10.854095934,0.0919,0.0,2.99,,5465.0,0.925,0.876,0.02,765.0,Exoplanet
Kepler-20 c,10.854097835,0.0919,0.0,3.03,,5465.0,0.925,0.876,0.02,765.0,Exoplanet
Kepler-20 c,10.854097835,0.09408,,2.88,,5508.0,0.88,0.942,0.11,,Exoplanet
Kepler-20 c,10.854095934,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 c,10.85409784,0.0940486658,0.0,2.88,13.55003079,,,0.942,,,Exoplanet
Kepler-20 c,10.854097835,0.0919,0.0,3.03,,5465.0,0.925,0.876,0.02,765.0,Exoplanet
Kepler-20 c,10.8540774435,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 c,10.854097835,0.0919,0.0,3.03,,5465.0,0.925,0.876,0.02,765.0,Exoplanet
Kepler-20 c,,,,2.868,,5508.0,0.887,,,,Exoplanet
Kepler-20 c,10.8540774,0.0936,0.076,2.894,11.1,5495.0,0.9164,0.929,0.07,828.0,Exoplanet
Kepler-20 c,10.8540894,0.093,0.0,3.17,,5443.0,0.939,0.901,,763.0,Exoplanet
Kepler-20 c,10.854092,0.093,0.4,3.07,16.1,5455.0,0.944,0.912,0.01,713.0,Exoplanet
Kepler-20 d,77.61184,0.3453,0.6,2.75,20.1,5455.0,0.944,0.912,0.01,369.0,Exoplanet
Kepler-20 d,77.6115987,0.3490662851,0.0,2.492,12.94676483,,,0.942,,,Exoplanet
Kepler-20 d,77.6115987,0.34921,,2.492,,5508.0,0.88,0.942,0.11,,Exoplanet
Kepler-20 d,77.6114427,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 d,77.6115987,0.3411,0.0,2.62,,5465.0,0.925,0.876,0.02,397.0,Exoplanet
Kepler-20 d,77.6115987,,,2.63,,5569.0,0.93,0.95,0.04,,Exoplanet
Kepler-20 d,77.61154162,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 d,77.6115987,0.3411,0.0,2.62,,5465.0,0.925,0.876,0.02,397.0,Exoplanet
Kepler-20 d,77.6114550544,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 d,77.6115987,0.3411,0.0,2.62,,5465.0,0.925,0.876,0.02,397.0,Exoplanet
Kepler-20 d,77.61130017,0.3506,,2.744,10.07,5495.0,0.9639,0.948,0.07,401.0,Exoplanet
Kepler-20 d,77.6114427,0.3411,0.0,2.59,,5465.0,0.925,0.876,0.02,397.0,Exoplanet
Kepler-20 d,77.611455,0.3474,0.082,2.606,13.4,5495.0,0.9164,0.929,0.07,430.0,Exoplanet
Kepler-20 d,,,,2.488,,5508.0,0.887,,,,Exoplanet
Kepler-20 d,77.61153,0.344,0.0,2.84,,5443.0,0.939,0.901,,397.0,Exoplanet
Kepler-20 e,6.09853672,0.06406,,0.784,,5508.0,0.88,0.942,0.11,,Exoplanet
Kepler-20 e,6.098493,,0.28,0.868,3.08,5466.0,0.944,0.912,0.02,1040.0,Exoplanet
Kepler-20 e,6.0984882328,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 e,6.0984882,0.0637,0.092,0.821,0.76,5495.0,0.9164,0.929,0.07,1004.0,Exoplanet
Kepler-20 e,,,,0.805,,5508.0,0.887,,,,Exoplanet
Kepler-20 e,6.09853672,,,0.81,,5569.0,0.93,0.95,0.04,,Exoplanet
Kepler-20 e,6.09853672,0.0640384158,0.0,0.784,,,,0.942,,,Exoplanet
Kepler-20 e,6.09855603,0.0626,0.0,0.84,,5465.0,0.925,0.876,0.02,927.0,Exoplanet
Kepler-20 e,6.09852281,0.0639,,0.865,,5495.0,0.9639,0.948,0.07,,Exoplanet
Kepler-20 e,6.09853672,0.0626,0.0,0.82,,5465.0,0.925,0.876,0.02,927.0,Exoplanet
Kepler-20 e,6.098496,0.063,0.0,0.91,,5443.0,0.939,0.901,,927.0,Exoplanet
Kepler-20 e,6.09853672,0.0626,0.0,0.82,,5465.0,0.925,0.876,0.02,927.0,Exoplanet
Kepler-20 e,6.09855603,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 e,6.09853672,0.0626,0.0,0.82,,5465.0,0.925,0.876,0.02,927.0,Exoplanet
Kepler-20 f,19.5776286,0.1393574555,0.0,0.942,,,,0.942,,,Exoplanet
Kepler-20 f,19.57706,,0.32,1.03,14.3,5466.0,0.944,0.912,0.02,705.0,Exoplanet
Kepler-20 f,19.5776286,0.1362,0.0,0.99,,5465.0,0.925,0.876,0.02,628.0,Exoplanet
Kepler-20 f,19.5783276933,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 f,19.5776286,,,1.02,,5569.0,0.93,0.95,0.04,,Exoplanet
Kepler-20 f,,,,0.863,,5508.0,0.887,,,,Exoplanet
Kepler-20 f,19.5776286,0.1362,0.0,0.99,,5465.0,0.925,0.876,0.02,628.0,Exoplanet
Kepler-20 f,19.5776286,0.1362,0.0,0.99,,5465.0,0.925,0.876,0.02,628.0,Exoplanet
Kepler-20 f,19.57758478,0.1396,,1.003,,5495.0,0.9639,0.948,0.07,,Exoplanet
Kepler-20 f,19.5776073,0.1362,0.0,0.9,,5465.0,0.925,0.876,0.02,628.0,Exoplanet
Kepler-20 f,19.578328,0.1387,0.094,0.952,1.4,5495.0,0.9164,0.929,0.07,681.0,Exoplanet
Kepler-20 f,19.57709,0.137,0.0,1.03,,5443.0,0.939,0.901,,629.0,Exoplanet
Kepler-20 f,19.57778827,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 f,19.5776286,0.13941,,0.942,,5508.0,0.88,0.942,0.11,,Exoplanet
Kepler-20 f,19.5776073,,,,,5489.0,0.914982,0.96,0.02,,Exoplanet
Kepler-20 g,34.951009,0.2050831423,0.0,,20.97014611,,,0.942,,,Exoplanet
Kepler-20 g,34.94,0.2055,0.15,,19.96,5495.0,0.9639,0.948,0.07,524.0,Exoplanet
Kepler-200 b,8.594805,0.08,,2.13,,5678.0,0.944,,,,Exoplanet
Kepler-200 b,8.594777,0.083,0.0,2.54,,6034.0,1.28,1.042,,1045.0,Exoplanet
Kepler-200 b,,,,1.894,,5785.0,0.99,,,,Exoplanet
Kepler-200 b,8.59479202,,,2.19,,5773.0,0.95,0.98,-0.07,,Exoplanet
Kepler-200 b,8.59479202,0.0832,0.0,2.92,,6053.0,1.277,1.038,-0.1,1046.0,Exoplanet
Kepler-200 b,8.59479202,0.0832,0.0,2.92,,6053.0,1.277,1.038,-0.1,1046.0,Exoplanet
Kepler-200 b,8.59481851,,,,,5838.55,0.986123,1.05,-0.006,,Exoplanet
Kepler-200 b,8.59476571,,,,,5838.55,0.986123,1.05,-0.006,,Exoplanet
Kepler-200 b,8.59479202,0.08138,,2.224,,5785.0,0.974,0.972,-0.03,,Exoplanet
Kepler-200 b,8.59479202,0.0832,0.0,2.92,,6053.0,1.277,1.038,-0.1,1046.0,Exoplanet
Kepler-200 b,8.5949077485,,,,,5838.55,0.986123,1.05,-0.006,,Exoplanet
Kepler-200 b,8.59481851,0.0787,0.0,1.75,,5675.0,0.915,0.878,-0.18,854.0,Exoplanet
Kepler-200 c,10.22214214,0.0934,0.0,1.99,,6053.0,1.277,1.038,-0.1,987.0,Exoplanet
Kepler-200 c,10.2221902849,,,,,5838.55,0.986123,1.05,-0.006,,Exoplanet
Kepler-200 c,10.222084,0.093,0.0,2.9,,6034.0,1.28,1.042,,987.0,Exoplanet
Kepler-200 c,10.22214214,0.0934,0.0,1.99,,6053.0,1.277,1.038,-0.1,987.0,Exoplanet
Kepler-200 c,10.222157,0.09,,1.59,,5678.0,0.944,,,,Exoplanet
Kepler-200 c,10.22215697,,,,,5838.55,0.986123,1.05,-0.006,,Exoplanet
Kepler-200 c,10.22214214,0.0934,0.0,1.99,,6053.0,1.277,1.038,-0.1,987.0,Exoplanet
Kepler-200 c,10.22214214,,,1.46,,5773.0,0.95,0.98,-0.07,,Exoplanet
Kepler-200 c,10.22214214,0.09135,,1.516,,5785.0,0.974,0.972,-0.03,,Exoplanet
Kepler-200 c,,,,1.86,,5785.0,0.99,,,,Exoplanet
Kepler-200 c,10.22215697,0.0883,0.0,1.72,,5675.0,0.915,0.878,-0.18,806.0,Exoplanet
Kepler-2000 b,6.38316403,,,,,3886.0,0.656577,0.632033,,,Exoplanet
Kepler-2000 b,6.383159135,0.0562,0.0,2.73,,3757.0,0.576,0.581,0.48,530.0,Exoplanet
Kepler-2000 b,6.38317,0.055,0.0,2.34,,4047.0,0.522,0.546,,550.0,Exoplanet
Kepler-2000 b,6.383163462,0.0565,0.0,2.59,,3769.0,0.56,0.59,0.4,523.0,Exoplanet
Kepler-2000 b,6.383163462,0.0565,0.0,2.59,,3769.0,0.56,0.59,0.4,523.0,Exoplanet
Kepler-2000 b,6.383150101,,,3.31999993,,3757.0,0.576,0.581,0.48,,Exoplanet
Kepler-2000 b,6.383163462,0.0565,0.0,2.59,,3769.0,0.56,0.59,0.4,523.0,Exoplanet
Kepler-2000 b,6.383159135,,,,,3886.0,0.656577,0.632033,,,Exoplanet
Kepler-2000 c,20.61811848,,,,,3886.0,0.656577,0.632033,,,Exoplanet
Kepler-2000 c,20.6180348,,,,,3886.0,0.656577,0.632033,,,Exoplanet
Kepler-2000 c,20.6181066,0.1234,0.0,1.4,,3769.0,0.56,0.59,0.4,354.0,Exoplanet
Kepler-2000 c,20.61867,0.12,0.0,1.18,,4047.0,0.522,0.546,,372.0,Exoplanet
Kepler-2000 c,20.6181066,0.1234,0.0,1.4,,3769.0,0.56,0.59,0.4,354.0,Exoplanet
Kepler-2000 c,20.6180348,0.1228,0.0,1.57,,3757.0,0.576,0.581,0.48,359.0,Exoplanet
Kepler-2000 c,20.6182003,,,2.20099998,,3757.0,0.576,0.581,0.48,,Exoplanet
Kepler-2000 c,20.6181066,0.1234,0.0,1.4,,3769.0,0.56,0.59,0.4,354.0,Exoplanet
Kepler-2001 b,1.090013327,0.0197,0.0,1.03,,5093.0,0.784,0.856,0.12,1417.0,Exoplanet
Kepler-2001 b,1.090039968,,,1.19099998,,5081.0,0.77,0.864,0.12,,Exoplanet
Kepler-2001 b,1.090011003,0.0197,0.0,1.04,,5081.0,0.77,0.864,0.12,1402.0,Exoplanet
Kepler-2001 b,1.090013327,0.0197,0.0,1.03,,5093.0,0.784,0.856,0.12,1417.0,Exoplanet
Kepler-2001 b,1.090013327,0.0197,0.0,1.03,,5093.0,0.784,0.856,0.12,1417.0,Exoplanet
