pl_name,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,st_teff,st_rad,st_mass,st_met,pl_eqt,pl_insol,origin,habitability_score,habitable,planet_index,total_planets,angle_deg,angle_rad,x,y
2MASS J04414489+2301513 b,,15.0,,,2383.6,,,0.019,,,,Exoplanet,0.0,No,42,43242,0.3496600527265159,0.006102719182774679,14.99972067700623,0.09154021953098401
2MASS J11011926-7732383 b,,266.0,,,8899.195396,,,,,2677.0,,Exoplanet,0.0,No,43,43242,0.3579852920771472,0.006248022020459789,265.99480799226103,1.661963044168672
2MASS J11550485-7919108 b,,587.0,,,6356.56814,,,,,2506.0,,Exoplanet,0.0,No,44,43242,0.3663105314277786,0.006393324858144901,586.9880033449585,3.75285612552526
2MASS J12073346-3932539 b,,55.0,,,1589.15,,,0.024,,1250.0,,Exoplanet,0.0,No,45,43242,0.3746357707784099,0.006538627695830013,54.998824278754896,0.3596219607325002
2MASS J12073346-3932539 b,,46.0,,,1271.0,2825.0,0.21887,0.188001,,1150.0,,Exoplanet,0.0,No,46,43242,0.3829610101290412,0.006683930533515124,45.9989724804957,0.3074585152486237
2MASS J19383260+4603591 b,406.0,,0.33,,591.16083702,29564.0,0.203,0.48,,,,Exoplanet,0.0,No,47,43242,0.39128624947967255,0.006829233371200235,,
2MASS J19383260+4603591 b,416.0,0.92,,,603.877,,,0.48,,,,Exoplanet,0.0,No,48,43242,0.39961148883030384,0.006974536208885346,0.919977623779255,0.0064165212908362315
2MASS J21252752-8138278 b,,7493.0,,,3813.940884,,,,,1616.0,,Exoplanet,0.0,No,49,43242,0.4079367281809352,0.007119839046570458,7492.810082819471,53.34850324860498
2MASS J22362452+4751425 b,,230.0,,,3972.875,4045.0,,0.6,,,,Exoplanet,0.0,No,50,43242,0.4162619675315665,0.007265141884255569,229.99393006374,1.6709679337035324
30 Ari B b,335.10001,0.99,0.29,,4392.4106,6331.0,1.41,1.93,0.19,,,Exoplanet,0.0,No,51,43242,0.4245872068821979,0.007410444721940681,0.9899728173523606,0.007336273129429124
30 Ari B b,335.1,0.995,0.289,,3140.03,6300.0,1.13,1.16,0.245,,,Exoplanet,0.0,No,52,43242,0.4329124462328292,0.007555747559625792,0.9949715981978309,0.007517897289409062
30 Ari B b,345.4,1.01,0.18,,2097.678,,1.13,1.16,,,,Exoplanet,0.0,No,53,43242,0.44123768558346055,0.007701050397310904,1.0099700505285192,0.007777984020335613
4 UMa b,270.27,0.877,0.453,,2511.48007211,4415.0,18.11,1.234,-0.25,,,Exoplanet,0.0,No,54,43242,0.44956292493409183,0.007846353234996014,0.8769730037723926,0.006881181179634
4 UMa b,269.3,0.87,0.432,,2256.5,4415.0,18.11,1.234,-0.25,,,Exoplanet,0.0,No,55,43242,0.4578881642847232,0.007991656072681127,0.8699722181913101,0.00695266677552165
47 UMa b,1078.0,2.1,0.032,,804.08,5872.0,1.21334,1.06,0.04,,,Exoplanet,0.0,No,56,43242,0.46621340363535446,0.008136958910366237,2.0999304797782554,0.017087425150290353
47 UMa b,1083.2,2.11,0.049,,826.32,,,,,,,Exoplanet,0.0,No,57,43242,0.4745386429859858,0.008282261748051347,2.1099276317817366,0.01747537249708955
47 UMa b,1076.6,2.1,0.012,,778.6835,5882.0,,1.063,0.04,,,Exoplanet,0.0,No,58,43242,0.4828638823366172,0.008427564585736461,2.099925425404294,0.017697676135476677
47 UMa b,1100.8,2.11,0.097,,877.17,,,,,,,Exoplanet,0.0,No,59,43242,0.49118912168724854,0.008572867423421572,2.1099224642459378,0.018088528694963333
47 UMa b,1076.6,2.059,0.016,,774.86565627,5829.16,1.136537,1.005192,0.0256,,,Exoplanet,0.0,No,60,43242,0.49951436103787983,0.008718170261106682,2.05892175181138,0.01795048517336554
47 UMa c,2287.0,3.404,0.179,,157.96071828,5829.16,1.136537,1.005192,0.0256,,,Exoplanet,0.0,No,61,43242,0.5078396003885112,0.008863473098791794,3.4038662897889274,0.030170867381633135
47 UMa c,7586.0,7.73,0.005,,425.87,,,,,,,Exoplanet,0.0,No,62,43242,0.5161648397391425,0.009008775936476907,7.7296863262818665,0.06963689604767034
47 UMa c,2391.0,3.6,0.098,,171.621,5872.0,1.21334,1.06,0.04,,,Exoplanet,0.0,No,63,43242,0.5244900790897739,0.009154078774162017,3.599849166168525,0.032954223337439296
47 UMa d,14002.0,11.6,0.16,,521.22,5872.0,1.21334,1.06,0.04,,,Exoplanet,0.0,No,64,43242,0.5328153184404052,0.00929938161184713,11.599498428324107,0.10787127192413828
47 UMa d,19000.0,13.8,0.38,,479.92089457,5829.16,1.136537,1.005192,0.0256,,,Exoplanet,0.0,No,65,43242,0.5411405577910365,0.009444684449532241,13.799384510331244,0.13033470769588223
51 Eri b,,13.2,,,635.66,,,1.75,-0.027,700.0,,Exoplanet,0.0,No,66,43242,0.5494657971416679,0.009589987287217352,13.199393016801217,0.12658589186493416
51 Eri b,11688.0,12.0,0.45,,,7295.0,1.48726,1.65,,,,Exoplanet,0.0,No,67,43242,0.5577910364922991,0.009735290124902462,11.999431349248322,0.11682163616631733
51 Eri b,14965.0,14.0,0.21,,,7295.0,1.48726,1.65,,,,Exoplanet,0.0,No,68,43242,0.5661162758429304,0.009880592962587573,13.999316622738604,0.1383260507447151
51 Peg b,4.231,0.052,0.0,,146.2018,,,1.04,,,,Exoplanet,0.0,No,69,43242,0.5744415151935618,0.010025895800272685,0.05199738653864035,0.0005213378474878249
51 Peg b,4.230785,0.0527,0.013,,150.009,5758.0,1.17561,1.03,0.18,,,Exoplanet,0.0,No,70,43242,0.5827667545441931,0.010171198637957797,0.05269727402952734,0.000536012926059452
51 Peg b,4.23077,0.052,0.0,,148.738,,,,,,,Exoplanet,0.0,No,71,43242,0.5910919938948245,0.010316501475642907,0.05199723283927246,0.0005364485608937624
51 Peg b,4.2293,,0.0,,149.3801,5773.0,1.29,,0.2,,,Exoplanet,0.0,No,72,43242,0.5994172332454558,0.01046180431332802,,
51 Peg b,4.2307969,0.05235,0.0042,,147.47238085,5760.76,1.186744,1.069296,0.2058,,,Exoplanet,0.0,No,73,43242,0.6077424725960872,0.010607107151013132,0.052347055059460294,0.000555271646883201
