pl_name,hostname,discoverymethod,disc_year,pl_orbper,pl_orbsmax,pl_orbeccen,pl_rade,pl_bmasse,pl_eqt,st_teff,st_rad,st_mass,st_met,sy_dist
55 Cnc b,55 Cnc,Radial Velocity,1996,14.653,0.115,0.02,,266.9772,,,,0.95,0.27,12.5855
55 Cnc b,55 Cnc,Radial Velocity,1996,14.6,0.113,0.0,,254.25,700.0,,,,,12.5855
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3989,0.2373,0.03,,51.2,,5172.0,0.943,0.905,0.35,12.5855
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3446,0.24,0.086,,53.711,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc c,55 Cnc,Radial Velocity,2004,43.93,0.24,0.44,,68.96911,,,,0.95,,12.5855
55 Cnc c,55 Cnc,Radial Velocity,2004,44.373,0.23735,0.072,,56.6985,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc c,55 Cnc,Radial Velocity,2004,44.4175,0.241376,0.02,,54.4738,,,,0.95,,12.5855
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3827,0.2432,0.048,,54.3486576,,5317.89,0.964411,0.974708,0.3833,12.5855
55 Cnc c,55 Cnc,Radial Velocity,2004,44.3787,0.238,0.053,,52.44,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc c,55 Cnc,Radial Velocity,2004,44.38,0.237,0.07,,52.44,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,4820.0,5.54,0.139,,908.98924402,,5317.89,0.964411,0.974708,0.3833,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,4517.4,5.257,0.327,,1243.35096,,,,0.95,,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,4545.0,5.28,0.24,,918.49,,,,,,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,4867.0,5.446,0.0269,,1226.77,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,5370.0,5.84,0.063,,1220.42,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,5574.2,5.957,0.13,,991.6,,5172.0,0.943,0.905,0.35,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,4909.0,5.47,0.02,,1121.89,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,5218.0,5.77,0.025,,1218.827,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,4825.0,5.503,0.019,,1232.493,,,,0.95,,12.5855
55 Cnc d,55 Cnc,Radial Velocity,2002,5360.0,5.9,0.16,,1287.2115,,,,0.95,0.27,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,,,,,,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365417,,,,,,,,,,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.737,,,1.897,7.74,,5172.0,0.954,0.873,0.35,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.736539,0.01544,,1.91,8.08,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,2.808,0.038,0.174,,14.30235,,,,0.95,,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.73654625026,,,2.02311213,,1831.27,5250.0,0.963515,,,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365474,,,1.947,8.59,,,0.98,1.015,,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.73654604,,,,,,,,,,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.73654,0.01583,,2.0,8.63,,,0.943,0.963,,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365478,0.015439,0.028,,8.09479,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,,0.01544,,1.92,8.08,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365445,0.01583,0.036,,9.37593801,,5317.89,0.964411,0.974708,0.3833,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,2.79674,0.0377,0.264,,7.4687,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.736546,0.01583,0.0,2.173,8.37,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365515,0.015690907,0.04,,8.13928,,,,0.95,,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365437,0.01544,0.061,2.08,7.81,1958.0,5234.0,0.943,0.905,0.31,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.736543,,,1.856,,,5272.0,0.943,0.905,0.37,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.7365474,0.01544,0.05,1.875,7.99,,5172.0,0.943,0.905,0.35,12.5855
55 Cnc e,55 Cnc,Radial Velocity,2004,0.73654625,,,,,,5234.0,0.943,0.905,0.31,12.5855
55 Cnc f,55 Cnc,Radial Velocity,2007,260.91,0.7733,0.08,,47.0051,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc f,55 Cnc,Radial Velocity,2007,262.0,0.788,0.305,,44.812,,,,0.95,,12.5855
55 Cnc f,55 Cnc,Radial Velocity,2007,261.2,0.77,0.32,,54.664,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc f,55 Cnc,Radial Velocity,2007,259.88,0.7708,0.08,,47.8,,5172.0,0.943,0.905,0.35,12.5855
55 Cnc f,55 Cnc,Radial Velocity,2007,260.0,0.781,0.2,,45.766,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc f,55 Cnc,Radial Velocity,2007,260.7,0.775,0.0,,44.812,,5250.0,0.963515,0.9,0.35,12.5855
55 Cnc f,55 Cnc,Radial Velocity,2007,260.98,0.792,0.142,,46.87969003,,5317.89,0.964411,0.974708,0.3833,12.5855
6 Lyn b,6 Lyn,Radial Velocity,2008,934.3,2.11,0.073,,638.8383,,4938.0,5.2,1.44,,54.6599
6 Lyn b,6 Lyn,Radial Velocity,2008,874.774,2.18,0.125,,702.4043,,,5.2,1.82,,54.6599
6 Lyn b,6 Lyn,Radial Velocity,2008,919.86,2.028,0.042,,597.83523357,,4941.0,4.94,1.32,-0.17,54.6599
6 Lyn b,6 Lyn,Radial Velocity,2008,899.0,2.2,0.134,,762.8,,4978.0,5.2,1.7,-0.13,54.6599
61 Vir b,61 Vir,Radial Velocity,2009,4.21487,0.04956,0.099,,5.11703735,,5585.57,1.03251,0.914072,0.0275,8.50332
61 Vir b,61 Vir,Radial Velocity,2009,4.215,0.050201,0.12,,5.1,,5577.0,0.963,0.942,-0.01,8.50332
61 Vir c,61 Vir,Radial Velocity,2009,38.0957,0.2151,0.068,,16.11390023,,5585.57,1.03251,0.914072,0.0275,8.50332
61 Vir c,61 Vir,Radial Velocity,2009,38.021,0.2175,0.14,,18.2,,5577.0,0.963,0.942,-0.01,8.50332
61 Vir d,61 Vir,Radial Velocity,2009,123.01,0.476,0.35,,22.9,,5577.0,0.963,0.942,-0.01,8.50332
7 CMa b,7 CMa,Radial Velocity,2011,763.0,1.9,0.14,,826.3,,4792.0,2.3,1.52,0.21,19.8101
7 CMa b,7 CMa,Radial Velocity,2011,796.0,1.93,0.22,,781.8618,,4794.52,4.90843,,0.0882,19.8101
7 CMa b,7 CMa,Radial Velocity,2011,735.1,1.758,0.06,,587.9855,,4826.0,4.87,1.34,0.21,19.8101
7 CMa b,7 CMa,Radial Velocity,2011,,1.8,,,616.5,,,5.198,1.439,,19.8101
7 CMa c,7 CMa,Radial Velocity,2019,996.0,2.153,0.08,,276.5121,,4826.0,4.87,1.34,0.21,19.8101
7 CMa c,7 CMa,Radial Velocity,2019,,2.205,,,289.9,,,5.198,1.439,,19.8101
70 Vir b,70 Vir,Radial Velocity,1996,116.689,0.456,0.397,,2084.88,,,,,,17.9011
70 Vir b,70 Vir,Radial Velocity,1996,116.6884,0.484,0.4007,,2380.45,,5545.0,,1.11,-0.012,17.9011
70 Vir b,70 Vir,Radial Velocity,1996,116.6884,0.48,0.4,,2421.8646,,5531.0,1.84,1.14,-0.06,17.9011
70 Vir b,70 Vir,Radial Velocity,1996,116.69335,0.4765,0.3989,,2297.89938261,,5481.86,1.921943,1.06055,-0.0402,17.9011
70 Vir b,70 Vir,Radial Velocity,1996,116.688,0.481,0.3988,,2357.02728,,5495.0,1.89,1.09,,17.9011
70 Vir b,70 Vir,Radial Velocity,1996,116.6926,0.481,0.399,,2351.942,,5439.0,1.94,1.09,-0.09,17.9011
75 Cet b,75 Cet,Radial Velocity,2012,696.62,1.912,0.093,,787.89662095,,4809.0,10.38,1.92,0.1,82.9613
75 Cet b,75 Cet,Radial Velocity,2012,691.9,2.1,0.117,,953.49,,4846.0,10.5,2.49,0.0,82.9613
75 Cet c,75 Cet,Radial Velocity,2023,2051.62,3.929,0.023,,289.85950718,,4809.0,10.38,1.92,0.1,82.9613
8 UMi b,8 UMi,Radial Velocity,2015,93.4,0.49,0.06,,476.745,,4847.4,9.9,1.8,-0.03,162.552
8 UMi b,8 UMi,Radial Velocity,2015,93.4,0.49,0.06,,416.3573,,4847.0,10.3,1.44,-0.03,162.552
81 Cet b,81 Cet,Radial Velocity,2008,,2.17,,,1274.4,,,,1.6,,101.26
81 Cet b,81 Cet,Radial Velocity,2008,1005.57,2.104,0.037,,1051.05854195,,4734.0,11.21,1.23,-0.11,101.26
81 Cet b,81 Cet,Radial Velocity,2008,952.7,2.5,0.206,,1684.4,,4785.0,11.0,2.4,-0.06,101.26
91 Aqr b,91 Aqr,Radial Velocity,2013,181.4,0.7,0.027,,1017.0,,4665.0,11.0,1.4,-0.03,44.0304
AB Aur b,AB Aur,Imaging,2022,,93.9,0.4,,2860.455663,,9770.0,,2.4,,162.127
AB Pic b,AB Pic,Imaging,2005,,260.0,,,4290.5,,,,,,50.0475
AF Lep b,AF Lep,Imaging,2023,8030.0,8.4,0.24,,1017.0509024,,6130.0,1.25,1.2,0.19,26.8564
AF Lep b,AF Lep,Imaging,2023,9060.0,9.3,0.32,,1366.6621501,,6140.0,,1.13,,26.8564
AF Lep b,AF Lep,Imaging,2023,7520.0,7.99,0.47,,1664.46736746,1400.0,6100.0,1.25,1.201,,26.8564
AT2021ueyL b,AT2021ueyL,Microlensing,2025,4168.69,4.01,,,425.89006538,,3680.0,,0.49,,1040.0
AU Mic b,AU Mic,Transit,2020,8.46321,0.066,0.1,4.203375,57.2094,,3700.0,0.75,0.5,,9.7221
AU Mic b,AU Mic,Transit,2020,8.463,,0.04,,11.7,,3700.0,0.75,0.5,,9.7221
AU Mic b,AU Mic,Transit,2020,8.4631427,,,,10.2,,3665.0,0.82,0.6,0.12,9.7221
AU Mic b,AU Mic,Transit,2020,8.46308,0.0649,0.00577,3.95677019,,600.0,3678.0,0.744,0.51,0.23,9.7221
AU Mic b,AU Mic,Transit,2020,8.46321,,0.0,,,,,,,,9.7221
AU Mic b,AU Mic,Transit,2020,8.463,0.0645,0.0,4.07,17.0,593.0,3700.0,0.75,0.5,,9.7221
AU Mic b,AU Mic,Transit,2020,8.46321,,,,17.1,,3700.0,0.75,0.5,,9.7221
AU Mic b,AU Mic,Transit,2020,,,,4.02692583,,754.62,3588.0,0.698009,,,9.7221
AU Mic b,AU Mic,Transit,2020,8.4630004,0.0644,0.12,4.19,,,,0.75,,,9.7221
AU Mic b,AU Mic,Transit,2020,8.4629991,0.0645,0.186,,20.12,,,,0.5,,9.7221
AU Mic c,AU Mic,Transit,2021,18.85969,0.1108,0.00338,2.52202066,,459.0,3678.0,0.744,0.51,0.23,9.7221
AU Mic c,AU Mic,Transit,2021,18.859019,,0.041,,22.2,,3700.0,0.75,0.5,,9.7221
AU Mic c,AU Mic,Transit,2021,18.859019,0.1101,0.0,3.24,13.6,454.0,3700.0,0.75,0.5,,9.7221
AU Mic c,AU Mic,Transit,2021,18.858982,0.11,0.13,2.79,,,,0.75,,,9.7221
AU Mic c,AU Mic,Transit,2021,18.858991,0.1101,,,9.6,,,,0.5,,9.7221
AU Mic c,AU Mic,Transit,2021,18.85882,,,,14.2,,3665.0,0.82,0.6,0.12,9.7221
AU Mic d,AU Mic,Transit Timing Variations,2023,12.73596,,0.00305,,1.053,,3678.0,0.744,0.51,0.23,9.7221
BD+03 2562 b,BD+03 2562,Radial Velocity,2017,481.9,1.3,0.2,,2034.112,,4095.0,32.35,1.14,-0.71,1070.63
BD+05 4868 A b,BD+05 4868 A,Transit,2025,1.271869,0.0208,,,6.2,1820.0,4596.0,0.69,0.7,-0.05,43.5687
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,268.94,0.78,0.29,,330.5432,,4864.0,0.86,0.49,0.17,49.352
BD+14 4559 b,BD+14 4559,Radial Velocity,2009,268.94,0.777,0.29,,467.19,,5008.0,0.95,0.86,0.1,49.352
BD+15 2375 b,BD+15 2375,Radial Velocity,2016,153.22,0.576,0.001,,337.21763,,4649.0,8.95,1.08,-0.22,768.045
BD+15 2940 b,BD+15 2940,Radial Velocity,2013,137.48,0.539,0.26,,352.78,,4796.0,14.7,1.1,0.28,426.42
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,379.63,1.45,0.15,,6807.63,,4137.0,49.0,2.8,-1.0,1539.71
BD+20 2457 b,BD+20 2457,Radial Velocity,2009,379.63,1.05,0.15,,17668.1697,,4259.0,71.02,10.83,-0.79,1539.71
BD+20 2457 c,BD+20 2457,Radial Velocity,2009,621.99,2.01,0.18,,3963.17,,4137.0,49.0,2.8,-1.0,1539.71
BD+20 274 b,BD+20 274,Radial Velocity,2012,578.2,1.3,0.21,,1334.886,,4296.0,17.3,0.8,-0.46,1322.51
BD+20 594 b,BD+20 594,Transit,2016,41.688644,,,2.35545351,,,5703.0,0.956122,0.963861,-0.06,179.461
BD+20 594 b,BD+20 594,Transit,2016,41.6855,,0.0,2.57807,22.2481,,5766.0,1.08,1.67,-0.15,179.461
BD+20 594 b,BD+20 594,Transit,2016,41.6855,0.241,0.0,2.23,16.3,546.0,5766.0,0.928,0.961,-0.15,179.461
BD+45 564 b,BD+45 564,Radial Velocity,2021,307.88,0.83,0.12,,432.24663352,,5004.0,,0.81,-0.09,53.622
BD+48 738 b,BD+48 738,Radial Velocity,2011,392.6,1.0,0.2,,289.2253,,4414.0,11.0,0.74,-0.2,871.493
BD+48 740 b,BD+48 740,Radial Velocity,2018,733.0,1.7,0.76,,540.311,,4534.0,10.33,1.09,-0.13,666.589
BD+49 828 b,BD+49 828,Radial Velocity,2015,2590.0,4.2,0.35,,508.5,,4943.0,7.6,1.52,-0.19,442.042
BD+55 362 b,BD+55 362,Radial Velocity,2021,265.59,0.78,0.27,,228.83645304,,5012.0,,0.909,0.18,52.5697
BD+60 1417 b,BD+60 1417,Imaging,2021,,1662.0,,14.68376472,4767.426105,1303.0,4993.0,0.797,1.0,,44.9543
BD+63 1405 b,BD+63 1405,Radial Velocity,2021,1198.48,2.06,0.88,,1258.60049172,,5000.0,,0.816,-0.09,38.0473
BD+63 1405 b,BD+63 1405,Radial Velocity,2021,1230.0,2.115,0.891,,3305.4154328,,5000.0,,0.816,-0.09,38.0473
BD-06 1339 b,BD-06 1339,Radial Velocity,2013,3.8728,0.0428,0.0,,8.5,,4324.0,,0.7,-0.14,20.2695
BD-06 1339 c,BD-06 1339,Radial Velocity,2013,125.94,0.435,0.31,,53.0,,4324.0,,0.7,-0.14,20.2695
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,5.6,0.06,0.15,,12.7132,,4816.0,0.71,0.5,-0.06,41.3342
BD-08 2823 b,BD-08 2823,Radial Velocity,2009,5.6,0.056,0.15,,14.4,,4746.0,,0.74,-0.07,41.3342
BD-08 2823 c,BD-08 2823,Radial Velocity,2009,237.6,0.68,0.19,,104.0,,4746.0,,0.74,-0.07,41.3342
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,3.48777,0.04,0.02,,187.5197,,5393.0,0.91,1.47,0.38,84.4069
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,3.487905,0.045,0.022,,142.70495474,,5382.64,0.969745,0.999531,0.37,84.4069
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,3.487,0.046,0.05,,152.55,,5400.0,,1.1,0.5,84.4069
BD-10 3166 b,BD-10 3166,Radial Velocity,2000,3.48777,0.0452,0.019,,145.56,,5393.0,,1.01,0.382,84.4069
BD-11 4672 b,BD-11 4672,Radial Velocity,2014,1634.0,2.36,0.05,,206.5895,,4550.0,0.639,0.651,-0.35,27.1665
BD-11 4672 b,BD-11 4672,Radial Velocity,2014,1667.0,2.28,0.05,,168.44,,4475.0,0.52,0.571,-0.48,27.1665
